total_bill,support,sex,day,locale
16.99,1.01,male,Mon,ja-JP
10.34,1.66,male,Tue,en-US
21.01,3.5,female,Wed,ja-JP
23.68,3.31,male,Thu,en-US
24.59,3.61,female,Fri,en-US
25.29,4.71,female,Sat,en-US
8.77,2,male,Sun,ja-JP
26.88,3.12,male,Mon,en-US
15.04,1.96,male,Tue,en-US
14.78,3.23,female,Wed,en-US
10.27,1.71,male,Thu,ja-JP
35.26,5,male,Fri,en-US
15.42,1.57,female,Sat,ja-JP
18.43,3,male,Sun,en-US
14.83,3.02,female,Mon,en-US
21.58,3.92,female,Tue,en-US
10.33,1.67,male,Wed,ja-JP
16.29,3.71,male,Thu,en-US
16.97,3.5,male,Fri,en-US
20.65,3.35,female,Sat,en-US
17.92,4.08,male,Sun,ja-JP
20.29,2.75,female,Mon,en-US
15.77,2.23,female,Tue,ja-JP
39.42,7.58,male,Wed,en-US
19.82,3.18,male,Thu,ja-JP
17.81,2.34,male,Fri,en-US
13.37,2,female,Sat,ja-JP
12.69,2,male,Sun,en-US
21.7,4.3,male,Mon,ja-JP
19.65,3,male,Tue,en-US
9.55,1.45,female,Wed,ja-JP
18.35,2.5,female,Thu,en-US
15.06,3,female,Fri,en-US
20.69,2.45,male,Sat,en-US
17.78,3.27,female,Sun,ja-JP
24.06,3.6,female,Mon,en-US
16.31,2,male,Tue,en-US
16.93,3.07,male,Wed,en-US
18.69,2.31,male,Thu,ja-JP
31.27,5,female,Fri,en-US
16.04,2.24,female,Sat,ja-JP
17.46,2.54,male,Sun,en-US
13.94,3.06,male,Mon,en-US
9.68,1.32,male,Tue,en-US
30.4,5.6,female,Wed,ja-JP
18.29,3,male,Thu,en-US
22.23,5,female,Fri,en-US
32.4,6,female,Sat,en-US
28.55,2.05,male,Sun,ja-JP
18.04,3,male,Mon,en-US
12.54,2.5,male,Tue,ja-JP
10.29,2.6,female,Wed,en-US
34.81,5.2,male,Thu,ja-JP
9.94,1.56,male,Fri,en-US
25.56,4.34,male,Sat,ja-JP
19.49,3.51,female,Sun,en-US
38.01,3,female,Mon,ja-JP
26.41,1.5,male,Tue,en-US
11.24,1.76,male,Wed,ja-JP
48.27,6.73,female,Thu,en-US
20.29,3.21,male,Fri,en-US
13.81,2,female,Sat,en-US
11.02,1.98,female,Sun,ja-JP
18.29,3.76,male,Mon,en-US
17.59,2.64,male,Tue,en-US
20.08,3.15,male,Wed,en-US
16.45,2.47,female,Thu,ja-JP
3.07,1,male,Fri,en-US
20.23,2.01,male,Sat,ja-JP
15.01,2.09,male,Sun,en-US
12.02,1.97,female,Mon,en-US
17.07,3,female,Tue,en-US
26.86,3.14,female,Wed,ja-JP
25.28,5,male,Thu,en-US
14.73,2.2,female,Fri,en-US
10.51,1.25,female,Sat,en-US
17.92,3.08,male,Sun,ja-JP
27.2,4,male,Mon,en-US
22.76,3,male,Tue,ja-JP
17.29,2.71,female,Wed,en-US
19.44,3,female,Thu,ja-JP
16.66,3.4,male,Fri,en-US
10.07,1.83,male,Sat,ja-JP
32.68,5,male,Sun,en-US
15.98,2.03,female,Mon,ja-JP
34.83,5.17,male,Tue,en-US
13.03,2,female,Wed,ja-JP
18.28,4,female,Thu,en-US
24.71,5.85,male,Fri,en-US
21.16,3,male,Sat,en-US
28.97,3,male,Sun,ja-JP
22.49,3.5,female,Mon,en-US
5.75,1,male,Tue,en-US
16.32,4.3,male,Wed,en-US
22.75,3.25,male,Thu,ja-JP
40.17,4.73,female,Fri,en-US
27.28,4,female,Sat,ja-JP
12.03,1.5,male,Sun,en-US
21.01,3,male,Mon,en-US
12.46,1.5,female,Tue,en-US
11.35,2.5,male,Wed,ja-JP
15.38,3,female,Thu,en-US
44.3,2.5,female,Fri,en-US
22.42,3.48,male,Sat,en-US
20.92,4.08,male,Sun,ja-JP
15.36,1.64,male,Mon,en-US
20.49,4.06,female,Tue,ja-JP
25.21,4.29,male,Wed,en-US
18.24,3.76,male,Thu,ja-JP
14.31,4,female,Fri,en-US
14,3,male,Sat,ja-JP
7.25,1,female,Sun,en-US
38.07,4,female,Mon,ja-JP
23.95,2.55,male,Tue,en-US
25.71,4,male,Wed,ja-JP
17.31,3.5,male,Thu,en-US
29.93,5.07,female,Fri,en-US
10.65,1.5,male,Sat,en-US
12.43,1.8,female,Sun,ja-JP
24.08,2.92,female,Mon,en-US
11.69,2.31,male,Tue,en-US
13.42,1.68,male,Wed,en-US
14.26,2.5,male,Thu,ja-JP
15.95,2,female,Fri,en-US
12.48,2.52,male,Sat,ja-JP
29.8,4.2,male,Sun,en-US
8.52,1.48,male,Mon,en-US
14.52,2,female,Tue,en-US
11.38,2,female,Wed,ja-JP
22.82,2.18,female,Thu,en-US
19.08,1.5,male,Fri,en-US
20.27,2.83,female,Sat,en-US
11.17,1.5,female,Sun,ja-JP
12.26,2,male,Mon,en-US
18.26,3.25,male,Tue,ja-JP
8.51,1.25,male,Wed,en-US
10.33,2,female,Thu,ja-JP
14.15,2,female,Fri,en-US
16,2,male,Sat,ja-JP
13.16,2.75,male,Sun,en-US
17.47,3.5,male,Mon,ja-JP
34.3,6.7,female,Tue,en-US
41.19,5,male,Wed,ja-JP
27.05,5,female,Thu,en-US
16.43,2.3,female,Fri,en-US
8.35,1.5,male,Sat,en-US
18.64,1.36,male,Sun,ja-JP
11.87,1.63,male,Mon,en-US
9.78,1.73,female,Tue,en-US
7.51,2,male,Wed,en-US
14.07,2.5,male,Thu,ja-JP
13.13,2,male,Fri,en-US
17.26,2.74,female,Sat,ja-JP
24.55,2,female,Sun,en-US
19.77,2,male,Mon,en-US
29.85,5.14,male,Tue,en-US
48.17,5,female,Wed,ja-JP
25,3.75,male,Thu,en-US
13.39,2.61,female,Fri,en-US
16.49,2,female,Sat,en-US
21.5,3.5,male,Sun,ja-JP
12.66,2.5,male,Mon,en-US
16.21,2,male,Tue,ja-JP
13.81,2,female,Wed,en-US
17.51,3,male,Thu,ja-JP
24.52,3.48,male,Fri,en-US
20.76,2.24,male,Sat,ja-JP
31.71,4.5,female,Sun,en-US
10.59,1.61,female,Mon,ja-JP
10.63,2,female,Tue,en-US
50.81,10,male,Wed,ja-JP
15.81,3.16,female,Thu,en-US
7.25,5.15,female,Fri,en-US
31.85,3.18,male,Sat,en-US
16.82,4,male,Sun,ja-JP
32.9,3.11,male,Mon,en-US
17.89,2,female,Tue,en-US
14.48,2,female,Wed,en-US
9.6,4,male,Thu,ja-JP
34.63,3.55,male,Fri,en-US
34.65,3.68,male,Sat,ja-JP
23.33,5.65,female,Sun,en-US
45.35,3.5,male,Mon,en-US
23.17,6.5,female,Tue,en-US
40.55,3,female,Wed,ja-JP
20.69,5,male,Thu,en-US
20.9,3.5,male,Fri,en-US
30.46,2,male,Sat,en-US
18.15,3.5,female,Sun,ja-JP
23.1,4,male,Mon,en-US
15.69,1.5,male,Tue,ja-JP
19.81,4.19,male,Wed,en-US
28.44,2.56,female,Thu,ja-JP
15.48,2.02,female,Fri,en-US
16.58,4,male,Sat,ja-JP
7.56,1.44,male,Sun,en-US
10.34,2,female,Mon,ja-JP
43.11,5,male,Tue,en-US
13,2,female,Wed,ja-JP
13.51,2,female,Thu,en-US
18.71,4,male,Fri,en-US
12.74,2.01,male,Sat,en-US
13,2,male,Sun,ja-JP
16.4,2.5,female,Mon,en-US
20.53,4,male,Tue,en-US
16.47,3.23,male,Wed,en-US
26.59,3.41,female,Thu,ja-JP
38.73,3,male,Fri,en-US
24.27,2.03,female,Sat,ja-JP
12.76,2.23,female,Sun,en-US
30.06,2,male,Mon,en-US
25.89,5.16,male,Tue,en-US
48.33,9,male,Wed,ja-JP
13.27,2.5,female,Thu,en-US
28.17,6.5,male,Fri,en-US
12.9,1.1,female,Sat,en-US
28.15,3,female,Sun,ja-JP
11.59,1.5,male,Mon,en-US
7.74,1.44,male,Tue,ja-JP
30.14,3.09,male,Wed,en-US
12.16,2.2,female,Thu,ja-JP
13.42,3.48,male,Fri,en-US
8.58,1.92,male,Sat,ja-JP
15.98,3,male,Sun,en-US
13.42,1.58,female,Mon,ja-JP
16.27,2.5,female,Tue,en-US
10.09,2,female,Wed,ja-JP
20.45,3,male,Thu,en-US
13.28,2.72,female,Fri,en-US
22.12,2.88,female,Sat,en-US
24.01,2,male,Sun,ja-JP
15.69,3,male,Mon,en-US
11.61,3.39,male,Tue,en-US
10.77,1.47,female,Wed,en-US
15.53,3,female,Thu,ja-JP
10.07,1.25,male,Fri,en-US
12.6,1,male,Sat,ja-JP
32.83,1.17,male,Sun,en-US
35.83,4.67,female,Mon,en-US
29.03,5.92,male,Tue,en-US
27.18,2,female,Wed,ja-JP
22.67,2,female,Thu,en-US
17.82,1.75,male,Fri,en-US
18.78,3,male,Sat,en-US
16.99,1.01,male,Sun,ja-JP
10.34,1.66,female,Mon,en-US
21.01,3.5,male,Tue,ja-JP
23.68,3.31,male,Wed,en-US
24.59,3.61,male,Thu,ja-JP
25.29,4.71,female,Fri,en-US
8.77,2,female,Sat,ja-JP
26.88,3.12,male,Sun,en-US
15.04,1.96,male,Mon,ja-JP
14.78,3.23,female,Tue,en-US
10.27,1.71,male,Wed,ja-JP
35.26,5,female,Thu,en-US
15.42,1.57,female,Fri,en-US
18.43,3,male,Sat,en-US
14.83,3.02,male,Sun,ja-JP
21.58,3.92,male,Mon,en-US
10.33,1.67,female,Tue,en-US
16.29,3.71,male,Wed,en-US
16.97,3.5,male,Thu,ja-JP
20.65,3.35,male,Fri,en-US
17.92,4.08,female,Sat,ja-JP
20.29,2.75,female,Sun,en-US
15.77,2.23,female,Mon,en-US
39.42,7.58,male,Tue,en-US
19.82,3.18,female,Wed,ja-JP
17.81,2.34,female,Thu,en-US
13.37,2,male,Fri,en-US
12.69,2,male,Sat,en-US
21.7,4.3,male,Sun,ja-JP
19.65,3,female,Mon,en-US
9.55,1.45,female,Tue,ja-JP
18.35,2.5,male,Wed,en-US
15.06,3,male,Thu,ja-JP
20.69,2.45,male,Fri,en-US
17.78,3.27,female,Sat,ja-JP
24.06,3.6,male,Sun,en-US
16.31,2,female,Mon,ja-JP
16.93,3.07,female,Tue,en-US
18.69,2.31,male,Wed,ja-JP
31.27,5,male,Thu,en-US
16.04,2.24,male,Fri,en-US
17.46,2.54,female,Sat,en-US
13.94,3.06,male,Sun,ja-JP
9.68,1.32,male,Mon,en-US
30.4,5.6,male,Tue,en-US
18.29,3,female,Wed,en-US
22.23,5,female,Thu,ja-JP
32.4,6,male,Fri,en-US
28.55,2.05,male,Sat,ja-JP
18.04,3,female,Sun,en-US
12.54,2.5,male,Mon,en-US
10.29,2.6,female,Tue,en-US
34.81,5.2,female,Wed,ja-JP
9.94,1.56,male,Thu,en-US
25.56,4.34,male,Fri,en-US
19.49,3.51,male,Sat,en-US
38.01,3,female,Sun,ja-JP
26.41,1.5,male,Mon,en-US
11.24,1.76,male,Tue,ja-JP
48.27,6.73,female,Wed,en-US
20.29,3.21,male,Thu,ja-JP
13.81,2,female,Fri,en-US
11.02,1.98,female,Sat,ja-JP
18.29,3.76,male,Sun,en-US
17.59,2.64,male,Mon,ja-JP
20.08,3.15,male,Tue,en-US
16.45,2.47,female,Wed,ja-JP
3.07,1,male,Thu,en-US
20.23,2.01,female,Fri,en-US
15.01,2.09,female,Sat,en-US
12.02,1.97,male,Sun,ja-JP
17.07,3,male,Mon,en-US
26.86,3.14,male,Tue,en-US
25.28,5,female,Wed,en-US
14.73,2.2,male,Thu,ja-JP
10.51,1.25,male,Fri,en-US
17.92,3.08,male,Sat,ja-JP
27.2,4,female,Sun,en-US
22.76,3,female,Mon,en-US
17.29,2.71,female,Tue,en-US
19.44,3,male,Wed,ja-JP
16.66,3.4,female,Thu,en-US
10.07,1.83,female,Fri,en-US
32.68,5,male,Sat,en-US
15.98,2.03,male,Sun,ja-JP
34.83,5.17,male,Mon,en-US
13.03,2,female,Tue,ja-JP
18.28,4,female,Wed,en-US
24.71,5.85,male,Thu,ja-JP
21.16,3,male,Fri,en-US
28.97,3,male,Sat,ja-JP
22.49,3.5,female,Sun,en-US
5.75,1,male,Sun,ja-JP
16.32,4.3,female,Mon,en-US
22.75,3.25,female,Tue,ja-JP
40.17,4.73,male,Wed,en-US
27.28,4,male,Thu,ja-JP
12.03,1.5,male,Fri,en-US
21.01,3,female,Sat,ja-JP
12.46,1.5,male,Sun,en-US
11.35,2.5,male,Mon,ja-JP
15.38,3,male,Tue,en-US
44.3,2.5,female,Wed,ja-JP
22.42,3.48,female,Thu,en-US
20.92,4.08,male,Fri,en-US
15.36,1.64,male,Sat,en-US
20.49,4.06,female,Sun,ja-JP
25.21,4.29,male,Mon,en-US
18.24,3.76,female,Tue,en-US
14.31,4,female,Wed,en-US
14,3,male,Thu,ja-JP
7.25,1,male,Fri,en-US
38.07,4,male,Sat,ja-JP
23.95,2.55,female,Sun,en-US
25.71,4,male,Mon,en-US
17.31,3.5,male,Tue,en-US
29.93,5.07,male,Wed,ja-JP
10.65,1.5,female,Thu,en-US
12.43,1.8,female,Fri,en-US
24.08,2.92,female,Sat,en-US
11.69,2.31,male,Sun,ja-JP
13.42,1.68,female,Mon,en-US
14.26,2.5,female,Tue,ja-JP
15.95,2,male,Wed,en-US
12.48,2.52,male,Sun,ja-JP
29.8,4.2,male,Mon,en-US
8.52,1.48,female,Tue,ja-JP
14.52,2,female,Wed,en-US
11.38,2,male,Thu,ja-JP
22.82,2.18,male,Fri,en-US
19.08,1.5,male,Sat,ja-JP
20.27,2.83,female,Sun,en-US
11.17,1.5,male,Mon,ja-JP
12.26,2,female,Tue,en-US
18.26,3.25,female,Wed,ja-JP
8.51,1.25,male,Thu,en-US
10.33,2,male,Fri,en-US
14.15,2,male,Sat,en-US
16,2,female,Sun,ja-JP
13.16,2.75,male,Mon,en-US
17.47,3.5,male,Tue,en-US
34.3,6.7,male,Wed,en-US
41.19,5,female,Thu,ja-JP
27.05,5,female,Fri,en-US
16.43,2.3,male,Sat,ja-JP
8.35,1.5,male,Sun,en-US
18.64,1.36,female,Mon,en-US
11.87,1.63,male,Tue,en-US
9.78,1.73,female,Wed,ja-JP
7.51,2,female,Thu,en-US
14.07,2.5,male,Fri,en-US
13.13,2,male,Sat,en-US
17.26,2.74,male,Sun,ja-JP
24.55,2,female,Mon,en-US
19.77,2,male,Tue,ja-JP
29.85,5.14,male,Wed,en-US
48.17,5,female,Sun,ja-JP
25,3.75,male,Mon,en-US
13.39,2.61,female,Tue,ja-JP
16.49,2,female,Wed,en-US
21.5,3.5,male,Thu,ja-JP
12.66,2.5,male,Fri,en-US
16.21,2,male,Sat,ja-JP
13.81,2,female,Sun,en-US
17.51,3,male,Mon,ja-JP
24.52,3.48,female,Tue,en-US
20.76,2.24,female,Wed,ja-JP
31.71,4.5,male,Thu,en-US
10.59,1.61,male,Fri,en-US
10.63,2,male,Sat,en-US
50.81,10,female,Sun,ja-JP
15.81,3.16,male,Mon,en-US
7.25,5.15,male,Tue,en-US
31.85,3.18,male,Wed,en-US
16.82,4,female,Thu,ja-JP
32.9,3.11,female,Fri,en-US
17.89,2,female,Sat,ja-JP
14.48,2,male,Sun,en-US
9.6,4,female,Mon,en-US
34.63,3.55,female,Tue,en-US
34.65,3.68,male,Wed,ja-JP
23.33,5.65,male,Thu,en-US
45.35,3.5,male,Fri,en-US
23.17,6.5,female,Sat,en-US
40.55,3,female,Sun,ja-JP
20.69,5,male,Mon,en-US
20.9,3.5,male,Tue,ja-JP
30.46,2,male,Wed,en-US
18.15,3.5,female,Sun,ja-JP
23.1,4,male,Mon,en-US
15.69,1.5,female,Tue,ja-JP
19.81,4.19,female,Wed,en-US
28.44,2.56,male,Thu,ja-JP
15.48,2.02,male,Fri,en-US
16.58,4,male,Sat,ja-JP
7.56,1.44,female,Sun,en-US
10.34,2,male,Mon,ja-JP
43.11,5,male,Tue,en-US
13,2,male,Wed,ja-JP
13.51,2,female,Thu,en-US
18.71,4,female,Fri,en-US
12.74,2.01,male,Sat,en-US
13,2,male,Sun,ja-JP
16.4,2.5,female,Mon,en-US
20.53,4,male,Tue,en-US
16.47,3.23,female,Wed,en-US
26.59,3.41,female,Thu,ja-JP
38.73,3,male,Fri,en-US
24.27,2.03,male,Sat,ja-JP
12.76,2.23,male,Sun,en-US
30.06,2,female,Mon,en-US
25.89,5.16,male,Tue,en-US
48.33,9,male,Wed,ja-JP
13.27,2.5,male,Thu,en-US
28.17,6.5,female,Fri,en-US
12.9,1.1,female,Sat,en-US
28.15,3,female,Sun,ja-JP
11.59,1.5,male,Mon,en-US
7.74,1.44,female,Tue,ja-JP
30.14,3.09,female,Wed,en-US
12.16,2.2,male,Sun,ja-JP
13.42,3.48,male,Mon,en-US
8.58,1.92,male,Tue,ja-JP
15.98,3,female,Wed,en-US
13.42,1.58,female,Thu,ja-JP
16.27,2.5,male,Fri,en-US
10.09,2,male,Sat,ja-JP
20.45,3,male,Sun,en-US
13.28,2.72,female,Mon,ja-JP
22.12,2.88,male,Tue,en-US
24.01,2,female,Wed,ja-JP
15.69,3,female,Thu,en-US
11.61,3.39,male,Fri,en-US
10.77,1.47,male,Sat,en-US
15.53,3,male,Sun,ja-JP
10.07,1.25,female,Mon,en-US
12.6,1,male,Tue,en-US
32.83,1.17,male,Wed,en-US
35.83,4.67,male,Thu,ja-JP
29.03,5.92,female,Fri,en-US
27.18,2,female,Sat,ja-JP
22.67,2,male,Sun,en-US
17.82,1.75,female,Mon,en-US
18.78,3,female,Tue,en-US